url_recriar,backlinks_bons,dominios_unicos,DR_top,dominios_exemplo,do_que_era_a_pagina
https://www.papodebola.com.br/papodemidia/profissionais/janicedecastro.htm,1,1,97,pt.wikipedia.org,Janice de Castro
https://www.papodebola.com.br/papodemidia/profissionais/marinaferrari.htm,1,1,97,pt.wikipedia.org,Marina Ferrari
https://www.papodebola.com.br/papodemidia/coluna/20121210.htm,1,1,97,pt.wikipedia.org,André José Adler
https://www.papodebola.com.br/papodemidia/coluna/20071023.htm,1,1,97,pt.wikipedia.org,TV Athenas
https://www.papodebola.com.br/papodemidia/retrospectiva2008/radiosaopaulo.htm,1,1,97,pt.wikipedia.org,PH Dragani
https://www.papodebola.com.br/especiais/retro2011/sintoniapb/telejornalismonacional.htm,1,1,97,pt.wikipedia.org,Flávia Ribeiro
https://www.papodebola.com.br/24horas/20041113.htm,1,1,71,sport.pl,Cwaniak strzelił gola - exclusive 'Z czuba'
https://www.papodebola.com.br/papodemidia/profissionais/sergioboaz.htm,4,1,51,portaldosjornalistas.com.br,Sérgio Boaz - Portal dos Jornalistas
https://www.papodebola.com.br/papodemidia/profissionais/odineiribeiro.htm,2,1,51,portaldosjornalistas.com.br,Odinei Ribeiro - Portal dos Jornalistas
https://www.papodebola.com.br/papodemidia/profissionais/edsonmauro.htm,2,1,51,portaldosjornalistas.com.br,Edson Mauro - Portal dos Jornalistas
https://www.papodebola.com.br/papodemidia/profissionais/dirceumaravilha.htm,2,1,51,portaldosjornalistas.com.br,Dirceu Maravilha - Portal dos Jornalistas
https://www.papodebola.com.br/papodemidia/profissionais/gustavomanhago.htm,2,1,51,portaldosjornalistas.com.br,Gustavo Manhago - Portal dos Jornalistas
https://www.papodebola.com.br/papodemidia/profissionais/leandroquesada.htm,2,1,51,portaldosjornalistas.com.br,Leandro Quesada - Portal dos Jornalistas
https://www.papodebola.com.br/papodemidia/profissionais/alexandreoliveira.htm,2,1,51,portaldosjornalistas.com.br,Alexandre Oliveira - Portal dos Jornalistas
https://www.papodebola.com.br/papodemidia/profissionais/janainacastilho.htm,2,1,51,portaldosjornalistas.com.br,Janaína Castilho - Portal dos Jornalistas
https://www.papodebola.com.br/papodemidia/profissionais/cledioliveira.htm,2,1,51,portaldosjornalistas.com.br,Cledi Oliveira - Portal dos Jornalistas
https://www.papodebola.com.br/papodemidia/profissionais/crisferreira.htm,2,1,51,portaldosjornalistas.com.br,Cristiane Spina - Portal dos Jornalistas
https://www.papodebola.com.br/papodemidia/profissionais/fabianofarah.htm,2,1,51,portaldosjornalistas.com.br,Fabiano Farah - Portal dos Jornalistas
https://www.papodebola.com.br/papodemidia/coluna/20121206.htm,2,1,51,portaldosjornalistas.com.br,Daniel Tozzi - Portal dos Jornalistas
https://www.papodebola.com.br/papodemidia/profissionais/deboravilalba.htm,2,1,51,portaldosjornalistas.com.br,Débora Vilalba - Portal dos Jornalistas
https://www.papodebola.com.br/papodemidia/profissionais/luizcarlosjr.htm,2,1,51,portaldosjornalistas.com.br,Luiz Carlos Júnior - Portal dos Jornalistas
https://www.papodebola.com.br/papodemidia/profissionais/robertapiza.htm,2,1,51,portaldosjornalistas.com.br,Roberta Piza - Portal dos Jornalistas
https://www.papodebola.com.br/papodemidia/profissionais/osvaldomaciel.htm,2,1,51,portaldosjornalistas.com.br,Oswaldo Maciel - Portal dos Jornalistas
https://www.papodebola.com.br/papodemidia/profissionais/leonardobertozzi.htm,2,1,51,portaldosjornalistas.com.br,Leonardo Bertozzi - Portal dos Jornalistas
https://www.papodebola.com.br/papodemidia/profissionais/edegarschmidt.htm,2,1,51,portaldosjornalistas.com.br,Edegar Schmidt - Portal dos Jornalistas
https://www.papodebola.com.br/papodemidia/profissionais/eliajr.htm,2,1,51,portaldosjornalistas.com.br,Elia Júnior - Portal dos Jornalistas
https://www.papodebola.com.br/papodemidia/profissionais/teojose.htm,2,1,51,portaldosjornalistas.com.br,Téo José - Portal dos Jornalistas
https://www.papodebola.com.br/papodemidia/profissionais/eduardastreb.htm,2,1,51,portaldosjornalistas.com.br,Eduarda Streb (Duda) - Portal dos Jornalistas
https://www.papodebola.com.br/papodemidia/profissionais/marcoantoniorodrigues.htm,2,1,51,portaldosjornalistas.com.br,Marco Antônio Rodrigues - Portal dos Jornalistas
https://www.papodebola.com.br/toquedeclasse,2,1,51,portaldosjornalistas.com.br,Aline Bordalo - Portal dos Jornalistas
https://www.papodebola.com.br/papodemidia/profissionais/nivaldoprieto.htm,2,1,51,portaldosjornalistas.com.br,Nivaldo Prieto - Portal dos Jornalistas
https://www.papodebola.com.br/papodemidia/profissionais/isabelascalabrini.htm,2,1,51,portaldosjornalistas.com.br,Isabela Scalabrini Matte - Portal dos Jornalistas
https://www.papodebola.com.br/papodemidia/profissionais/vanessariche.htm,2,1,51,portaldosjornalistas.com.br,Vanessa Riche - Portal dos Jornalistas
https://www.papodebola.com.br/papodemidia/profissionais/josesilverio.htm,2,1,51,portaldosjornalistas.com.br,José Silvério - Portal dos Jornalistas
https://www.papodebola.com.br/papodemidia/profissionais/josealdopinheiro.htm,2,1,51,portaldosjornalistas.com.br,José Aldo Pinheiro - Portal dos Jornalistas
https://www.papodebola.com.br/papodemidia/profissionais/ederluiz.htm,2,1,51,portaldosjornalistas.com.br,Éder Luiz - Portal dos Jornalistas
